Date,Open,High,Low,Close,Volume,Report
2018-02-07,363.75,365.75,362.5,365.25,457524,0
2018-02-08,365,367.75,364.5,365.75,300252,1
2018-02-09,364.75,365.5,361.5,362,232044,0
2018-02-12,365,367,364.25,367,236984,0
2018-02-13,366.5,368.5,366,366.75,233640,0
2018-02-14,366.5,368.5,364.75,367.25,156344,0
2018-02-15,367,368.75,365.5,367.75,174287,0
2018-02-16,368,368.5,366.5,367.5,172422,0
2018-02-20,369,370,365.25,365.5,292210,0
2018-02-21,365.75,368.5,364.25,365.75,205502,0
2018-02-22,365.5,367,364.25,366.75,194582,0
2018-02-23,366.25,367.75,365.25,366.25,181599,0
2018-02-26,366.5,370,366.5,368.5,283810,0
2018-02-27,368.25,371,367.75,370.5,227602,0
2018-02-28,370.5,376.75,369.75,374.5,19589,0
2018-03-01,374,379,372,378.75,8452,0
2018-03-02,377.75,380.25,376,377.25,5914,0
2018-03-05,376.25,378.5,374.75,378.25,8183,0
2018-03-06,377.75,380.25,377.25,379.75,2299,0
2018-03-07,378.75,380.75,378.5,379.25,4263,0
2018-03-08,378.5,385.75,378,385.75,2385,1
2018-03-09,385,385.25,382.5,383,2981,0
2018-03-12,382.75,384.25,380.5,384.25,1455,0
2018-03-13,383.75,388.75,383.5,385.5,2044,0
2018-03-14,386.5,386.5,384.25,383.5,188,0
2018-03-15,388.25,390.75,385.5,386.75,169290,0
2018-03-16,386.25,387.5,382.5,382.75,142888,0
2018-03-19,382,382,374.75,375,228921,0
2018-03-20,375.25,377,373.25,374.5,192215,0
2018-03-21,375,375.75,373.75,375,140380,0
2018-03-22,375.5,377.5,374,376,148380,0
2018-03-23,376.25,378.25,369.25,377.25,262673,0
2018-03-26,378.5,380.75,373.5,374,166438,0
2018-03-27,374.25,375,374.25,374,3975,0
2018-03-28,374.25,375,372,373.5,144764,0
2018-03-29,373.75,389.25,373.75,387.75,354830,0
2018-04-02,389.25,392.5,387,387.25,184656,0
2018-04-03,387,392,386.75,388.5,183381,0
2018-04-04,388,389,372,381,346763,0
2018-04-05,382,389.5,380.75,389.5,245265,0
2018-04-06,382,390,382,388.5,285286,0
2018-04-09,389.75,392.5,388.75,390.75,188118,0
